Time,Longitude,Latitude,Altitude,Roll,Pitch,Heading
188.15,-157.7999424,21.27670845,18787.81663,-11.36554785,-9.230421883,114.9994734
189.15,-157.7972311,21.27555487,18613.16369,-11.05371585,-8.922464062,114.6038799
190.15,-157.7944712,21.27440152,18442.43148,-10.85540229,-8.653013504,114.2282912
191.15,-157.7916643,21.27324867,18274.83319,-10.71568523,-8.435469141,113.872206
192.15,-157.7888119,21.27209657,18109.57448,-10.60540333,-8.220193452,113.5244725
193.15,-157.7859157,21.27094592,17946.62393,-10.51021729,-8.002687583,113.1833627
194.142,-157.7830021,21.26980702,17787.5109,-10.42254283,-7.787416733,112.8514423
195.142,-157.7800235,21.2686615,17629.80982,-10.33824256,-7.564486875,112.5217806
196.142,-157.7770059,21.26751969,17475.19,-10.2561512,-7.328457869,112.1956047
197.142,-157.773951,21.26638119,17324.08087,-3.227033591,-7.055886957,112.0480846
198.142,-157.770866,21.26523558,17173.699,7.045266808,-7.434385571,112.1336085
199.142,-157.7678128,21.26409697,17010.49932,16.01116739,-9.185397498,112.0567912
200.142,-157.7646942,21.26293715,16806.70212,9.987126521,-11.15140708,112.007271
201.142,-157.7615151,21.26176113,16551.91927,9.799396203,-14.43392453,111.7295787
202.167,-157.7583736,21.26062065,16221.3686,3.393374964,-18.84274189,111.3879753
203.15,-157.7553007,21.25951362,15799.64512,-9.401154516,-23.61327261,111.7148971
204.15,-157.7523411,21.2584209,15299.32194,-29.67420597,-26.00930755,112.2930407
205.15,-157.7492812,21.25729151,14742.39062,-48.09125481,-24.46778006,109.2122833
206.15,-157.7460732,21.25641799,14241.95903,-62.23541551,-21.09702931,101.461276
207.15,-157.7426659,21.25597164,13797.96687,-61.61931319,-18.45897137,92.20449575
208.15,-157.7391302,21.25602254,13426.33847,-39.93003049,-12.78788533,84.33105722
209.15,-157.7355218,21.25651049,13191.41215,-41.02333493,-5.554362053,77.45546628
210.142,-157.7319852,21.25742484,13109.97224,-41.23542226,1.239551024,69.74864422
211.142,-157.7285808,21.25875415,13181.96137,-31.92702162,8.077404139,63.94066393
212.142,-157.7253742,21.26033025,13396.6233,-22.87669588,14.24628692,60.20871176
213.142,-157.7223503,21.2620095,13732.638,-4.156480009,18.74497953,58.99399782
214.142,-157.7194214,21.26367332,14137.06777,5.334534097,20.88649119,59.30189363
215.142,-157.7165456,21.26529078,14580.06112,-1.645929438,22.73278823,59.33728384
216.142,-157.7137247,21.26687959,15050.36684,-1.756872678,23.32394338,59.28413416
217.142,-157.710932,21.2684556,15521.89194,-1.80781099,23.15782862,59.24968645
218.15,-157.7081433,21.2700316,15987.13238,-1.834012432,22.67884592,59.22314932
219.15,-157.7054013,21.27158186,16420.28017,-1.821105824,19.78056471,59.27815486
220.15,-157.7026319,21.27314247,16772.4674,-1.777290822,13.32599573,59.44598246
221.15,-157.6998168,21.27471989,17006.07336,-1.763479476,10.63508881,59.48863075
222.15,-157.6970094,21.27629223,17200.99175,-1.752556855,9.30989787,59.48778494
223.15,-157.6942137,21.27785812,17366.51366,-1.735444226,7.053810875,59.51511252
224.15,-157.6914187,21.27942066,17470.63175,-1.713014997,1.394549492,59.6440458
225.15,-157.6886234,21.28097557,17458.95971,-1.703243389,-4.471314407,59.777766
226.142,-157.6858665,21.28250305,17349.79129,-1.698632593,-7.912646182,59.84024171
227.142,-157.6831022,21.28403179,17180.13176,-5.243464946,-10.35696893,59.87226514
228.158,-157.6803499,21.28554919,16965.65463,-5.751560649,-12.39265051,60.1116968
229.142,-157.6776041,21.2870545,16715.96737,15.84366648,-13.73902861,60.312491
230.142,-157.6748589,21.28854858,16440.6863,14.71060585,-14.9196853,60.30929274
231.142,-157.672114,21.29003391,16142.20935,-7.848456347,-16.0342489,60.41597464
232.142,-157.6693729,21.29151781,15822.40433,-9.783900283,-17.04862222,60.47990709
233.142,-157.6666346,21.29299966,15482.43778,-5.131350448,-18.01988701,60.51411432
234.15,-157.6638754,21.29449087,15120.0353,-4.384462009,-18.96898847,60.47973764
235.15,-157.6611422,21.29596844,14741.59685,-4.048762095,-19.88297055,60.45320529
236.15,-157.6584119,21.29744588,14345.62136,-3.847294542,-20.25124595,60.38786729
237.15,-157.6556739,21.29893219,13946.1737,-3.702263681,-19.71478419,60.2607784
238.15,-157.652907,21.30044502,13573.26111,-3.553139178,-16.37252028,59.95150273
239.15,-157.6500926,21.30200216,13266.81528,-3.439198436,-12.66024297,59.63353369
240.15,-157.6472496,21.30359147,13019.29703,-3.365138565,-10.61412454,59.42746951
241.15,-157.6443973,21.30519755,12807.01372,-3.309621124,-9.565178484,59.28449116
